UMTRI_ID,Date,Accident Month          ,Accident Day            ,Accident Year           ,Time Of Day             ,Weather                 ,Total Motor Vehicles    ,Gps X Coordinate        ,Gps Y Coordinate        
986832,January 1st 2013,January,1st,2013,10:00 Am - 11:00 Am,Clear,2 Units,-83.74099395,42.28449019
992835,January 1st 2013,January,1st,2013,6:00 Pm -  7:00 Pm,Clear,1 Unit,-83.74632009,42.29525504
992843,January 1st 2013,January,1st,2013,2:00 Pm -  3:00 Pm,Clear,1 Unit,-83.77353967,42.28323171
992834,January 2nd 2013,January,2nd,2013,10:00 Am - 11:00 Am,Clear,2 Units,-83.69621249,42.25683459
992837,January 2nd 2013,January,2nd,2013,6:00 Pm -  7:00 Pm,Cloudy,2 Units,-83.78379883,42.28182309
992838,January 2nd 2013,January,2nd,2013,4:00 Pm -  5:00 Pm,Cloudy,2 Units,-83.73904977,42.22970137
992839,January 2nd 2013,January,2nd,2013,2:00 Pm -  3:00 Pm,Clear,2 Units,-83.74073708,42.27789977
992840,January 2nd 2013,January,2nd,2013,11:00 Am - 12:00 Noon,Cloudy,2 Units,-83.75011002,42.27045003
992841,January 2nd 2013,January,2nd,2013,7:00 Pm -  8:00 Pm,Other / Unknown,2 Units,-83.75970019,42.29139432
978137,January 3rd 2013,January,3rd,2013,7:00 Pm -  8:00 Pm,Clear,2 Units,-83.73555798,42.28225867
991530,January 3rd 2013,January,3rd,2013,5:00 Pm -  6:00 Pm,Clear,2 Units,-83.74351966,42.2736306
991531,January 3rd 2013,January,3rd,2013,6:00 Pm -  7:00 Pm,Clear,2 Units,-83.73901613,42.22954655
991532,January 3rd 2013,January,3rd,2013,5:00 Pm -  6:00 Pm,Clear,2 Units,-83.70760426,42.31689172
991533,January 3rd 2013,January,3rd,2013,6:00 Pm -  7:00 Pm,Snow/blowing Snow,2 Units,-83.69556592,42.25754355
991534,January 3rd 2013,January,3rd,2013,6:00 Pm -  7:00 Pm,Cloudy,2 Units,-83.72996754,42.28141041
991535,January 3rd 2013,January,3rd,2013,5:00 Pm -  6:00 Pm,Clear,2 Units,-83.74069647,42.27549983
992836,January 3rd 2013,January,3rd,2013,3:00 Pm -  4:00 Pm,Cloudy,2 Units,-83.7502618,42.26846562
994676,January 3rd 2013,January,3rd,2013,6:00 Am -  7:00 Am,Clear,2 Units,-83.72370038,42.28715919
996036,January 3rd 2013,January,3rd,2013,7:00 Pm -  8:00 Pm,Snow/blowing Snow,1 Unit,-83.79949704,42.28706751
999542,January 3rd 2013,January,3rd,2013,5:00 Am -  6:00 Am,Cloudy,1 Unit,-83.78430207,42.28154287
999546,January 3rd 2013,January,3rd,2013,7:00 Am -  8:00 Am,Cloudy,2 Units,-83.72939948,42.23729753
986811,January 4th 2013,January,4th,2013,4:00 Pm -  5:00 Pm,Clear,1 Unit,-83.70432913,42.30260769
986836,January 4th 2013,January,4th,2013,11:00 Am - 12:00 Noon,Clear,2 Units,-83.7484985,42.2812115
991525,January 4th 2013,January,4th,2013,5:00 Pm -  6:00 Pm,Cloudy,2 Units,-83.69945873,42.23035613
991528,January 4th 2013,January,4th,2013,8:00 Pm -  9:00 Pm,Clear,2 Units,-83.74616503,42.27822256
991529,January 4th 2013,January,4th,2013,12:00 Noon -  1:00 Pm,Clear,2 Units,-83.6887382,42.30615332
997358,January 4th 2013,January,4th,2013,2:00 Pm -  3:00 Pm,Clear,2 Units,-83.74108526,42.23700102
986835,January 5th 2013,January,5th,2013,8:00 Am -  9:00 Am,Clear,1 Unit,-83.71780337,42.2462825
990527,January 5th 2013,January,5th,2013,11:00 Am - 12:00 Noon,Cloudy,2 Units,-83.77366149,42.27015706
990528,January 5th 2013,January,5th,2013,10:00 Pm - 11:00 Pm,Snow/blowing Snow,2 Units,-83.71978323,42.24404112
994179,January 5th 2013,January,5th,2013,10:00 Pm - 11:00 Pm,Snow/blowing Snow,1 Unit,-83.70482175,42.29476326
986833,January 6th 2013,January,6th,2013,6:00 Pm -  7:00 Pm,Clear,2 Units,-83.74078447,42.28119314
986834,January 6th 2013,January,6th,2013,2:00 Pm -  3:00 Pm,Rain,2 Units,-83.78032034,42.2806817
989602,January 6th 2013,January,6th,2013,12:00 Noon -  1:00 Pm,Cloudy,2 Units,-83.75816331,42.26399841
989604,January 6th 2013,January,6th,2013,3:00 Pm -  4:00 Pm,Rain,2 Units,-83.73148149,42.27504742
989605,January 6th 2013,January,6th,2013,2:00 Pm -  3:00 Pm,Clear,2 Units,-83.70908431,42.25896262
989606,January 6th 2013,January,6th,2013,1:00 Pm -  2:00 Pm,Cloudy,2 Units,-83.7374651,42.261575
986825,January 7th 2013,January,7th,2013,10:00 Am - 11:00 Am,Clear,2 Units,-83.74713288,42.28899189
986826,January 7th 2013,January,7th,2013,5:00 Pm -  6:00 Pm,Clear,2 Units,-83.74603736,42.28042025
986827,January 7th 2013,January,7th,2013,6:00 Pm -  7:00 Pm,Clear,2 Units,-83.69299472,42.30498097
986828,January 7th 2013,January,7th,2013,6:00 Pm -  7:00 Pm,Cloudy,2 Units,-83.70924139,42.25904456
986831,January 7th 2013,January,7th,2013,1:00 Pm -  2:00 Pm,Clear,3 Units,-83.69133191,42.25588783
989603,January 7th 2013,January,7th,2013,5:00 Am -  6:00 Am,Cloudy,2 Units,-83.69545769,42.25820344
991679,January 7th 2013,January,7th,2013,7:00 Am -  8:00 Am,Cloudy,2 Units,-83.73344723,42.27741214
980030,January 8th 2013,January,8th,2013,7:00 Pm -  8:00 Pm,Clear,2 Units,-83.75008657,42.25727015
986810,January 8th 2013,January,8th,2013,2:00 Pm -  3:00 Pm,Cloudy,2 Units,-83.70922235,42.25904178
986812,January 8th 2013,January,8th,2013,5:00 Pm -  6:00 Pm,Clear,1 Unit,-83.69409742,42.26035063
986821,January 8th 2013,January,8th,2013,2:00 Pm -  3:00 Pm,Cloudy,2 Units,-83.72792858,42.27237351
986822,January 8th 2013,January,8th,2013,1:00 Pm -  2:00 Pm,Cloudy,2 Units,-83.69276411,42.3087637
986823,January 8th 2013,January,8th,2013,10:00 Am - 11:00 Am,Clear,2 Units,-83.69040052,42.25574084
