Latitude,Longitude,class,Gentime
42.26741028,-83.22400665,S,2.93E+14
42.27212143,-83.73249817,S,2.93E+14
42.27212143,-83.73251343,S,2.93E+14
42.26953888,-83.75832367,S,2.93E+14
42.27371979,-83.69831085,S,2.93E+14
42.33974075,-83.89231873,S,2.93E+14
42.33974075,-83.89231873,S,2.93E+14
42.29853821,-83.87877655,S,2.93E+14
42.2873497,-83.74249268,S,2.93E+14
42.33974838,-83.89232635,S,2.93E+14
42.27708054,-83.76287079,S,2.93E+14
42.31216049,-83.76891327,S,2.93E+14
42.31216812,-83.7689209,S,2.93E+14
42.22529984,-83.68463135,S,2.93E+14
42.27447891,-83.71730042,S,2.93E+14
42.27447891,-83.71727753,S,2.93E+14
42.27423096,-83.71629333,S,2.93E+14
42.27376175,-83.69830322,S,2.93E+14
42.26301956,-83.74043274,S,2.93E+14
42.26259995,-83.74040222,S,2.93E+14
42.27304077,-83.70580292,S,2.93E+14
42.26248932,-83.74044037,S,2.93E+14
42.28749084,-83.71169281,S,2.93E+14
42.29410934,-83.76574707,S,2.93E+14
42.31280899,-83.7694931,S,2.93E+14
42.31282043,-83.76950836,S,2.93E+14
42.23192978,-83.69922638,S,2.93E+14
42.22999954,-83.69510651,S,2.93E+14
42.22998047,-83.69508362,S,2.93E+14
42.23266983,-83.70062256,S,2.93E+14
42.30619812,-83.68743896,S,2.93E+14
42.30617905,-83.68743896,S,2.93E+14
42.30615997,-83.68743896,S,2.93E+14
42.3061409,-83.68743896,S,2.93E+14
42.23194885,-83.69921112,S,2.93E+14
42.27473068,-83.68240356,S,2.93E+14
42.27473068,-83.68241882,S,2.93E+14
42.27473831,-83.68242645,S,2.93E+14
42.27371979,-83.69819641,S,2.93E+14
42.28797913,-83.69838715,S,2.93E+14
42.23085022,-83.68521881,B1,2.93E+14
41.86587143,-83.66124725,B1,2.93E+14
42.21854019,-83.54621124,B1,2.93E+14
42.21854019,-83.54624176,B1,2.93E+14
42.29457855,-83.68269348,B1,2.93E+14
42.29459,-83.68270111,B1,2.93E+14
42.33324051,-83.07369995,B2,2.93E+14
42.27032089,-83.73148346,B2,2.93E+14
42.23083115,-83.68521118,B2,2.93E+14
42.23086166,-83.68521881,B2,2.93E+14
41.86597061,-83.66124725,B2,2.93E+14
42.21854019,-83.54608154,B2,2.93E+14
42.21854019,-83.54611969,B2,2.93E+14
42.21854019,-83.54615021,B2,2.93E+14
42.21854019,-83.54618073,B2,2.93E+14
42.21854019,-83.54625702,B2,2.93E+14
42.30603027,-83.78119659,B2,2.93E+14
42.30603027,-83.78119659,B2,2.93E+14
42.28501892,-83.74581146,B2,2.93E+14
42.28501129,-83.74581146,B2,2.93E+14
42.28501129,-83.74581146,B2,2.93E+14
42.28499985,-83.74581146,B2,2.93E+14
42.28499985,-83.74581146,B2,2.93E+14
42.23044968,-83.69557953,B2,2.93E+14
42.29457092,-83.68267822,B2,2.93E+14
42.29460144,-83.68271637,B2,2.93E+14
42.42908096,-83.77059937,B2,2.93E+14
42.33654022,-83.0595932,A1,2.93E+14
42.33652115,-83.05962372,A1,2.93E+14
42.33330917,-83.07351685,A1,2.93E+14
42.23263168,-83.36837006,A1,2.93E+14
42.23262024,-83.36840057,A1,2.93E+14
42.2326088,-83.36843872,A1,2.93E+14
42.23260117,-83.36850739,A1,2.93E+14
42.2184906,-83.54673004,A1,2.93E+14
42.29476929,-83.68293762,A1,2.93E+14
42.29478836,-83.68296051,A1,2.93E+14
42.36275864,-83.07068634,A2,2.93E+14
42.36275101,-83.0707016,A2,2.93E+14
42.37739944,-83.14615631,A2,2.93E+14
42.37879944,-83.21707153,A2,2.93E+14
42.37879944,-83.21711731,A2,2.93E+14
42.37879944,-83.21716309,A2,2.93E+14
42.37879944,-83.21720886,A2,2.93E+14
42.30677032,-83.68702698,A2,2.93E+14
42.30680084,-83.68702698,A2,2.93E+14
42.30685043,-83.68702698,A2,2.93E+14
42.30686951,-83.68702698,A2,2.93E+14
42.30690002,-83.68701935,A2,2.93E+14
42.38399887,-83.31390381,A2,2.93E+14
42.22011948,-83.43958282,A2,2.93E+14
42.31547928,-83.16940308,A2,2.93E+14
42.32888031,-83.15644836,A2,2.93E+14
42.32889175,-83.15641785,A2,2.93E+14
42.33848953,-83.12206268,A2,2.93E+14
42.35015106,-83.09892273,A2,2.93E+14
42.35015869,-83.09889221,A2,2.93E+14
