,RxDevice,FileId,TxDevice,Gentime,TxRandom,MsgCount,DSecond,Latitude,Longitude,Elevation,Speed,Heading,Ax,Ay,Az,Yawrate,PathCount,RadiusOfCurve,Confidence,DHeading,class
1444508,2200,1251271-B,2200,2.92799E+14,-19906,14,12524,42.26741028,-83.22400665,145.8999939,13.81999969,323.0375061,-0.970000029,20.01000023,-0.340000004,15.30000019,8,197.3000031,23,3.112487793,S
328307,2068,1496300,2068,2.92776E+14,28755,25,3471,42.27212143,-83.73249817,215,10.97999954,270.2999878,-1.75999999,20.01000023,-0.119999997,10.43000031,7,220.5,40,0.0625,S
328308,2068,1496300,2068,2.92776E+14,28755,26,3472,42.27212143,-83.73251343,215,10.84000015,270.9125061,-1.980000019,20.01000023,0,10.22000027,7,147.8000031,47,1.225006104,S
358192,2079,1895208,2079,2.92792E+14,30348,48,902,42.26953888,-83.75832367,246.3999939,11.93999958,180.8125,-0.439999998,20.01000023,0,10.64999962,3,1144.900024,21,1.975006104,S
1021861,2157,1897789,2157,2.92799E+14,2127,40,8158,42.27371979,-83.69831085,200.5,13.35999966,113.1500015,0.200000003,20.01000023,0,13.67000008,5,142.6000061,36,4.987503052,S
2170561,2325,1898557-B,2325,2.92789E+14,29812,103,3122,42.33974075,-83.89231873,224.6000061,11.02000046,299.1875,1.409999967,20.01000023,0,17.80999947,6,388.2999878,22,2.1875,S
2170562,2325,1898557-B,2325,2.92789E+14,29812,104,3123,42.33974075,-83.89231873,224.6000061,10.93999958,297.8875122,2.059999943,20.01000023,0,13.35999966,6,144,33,0.587524414,S
2217164,2325,1898561,2325,2.92803E+14,-21249,17,13996,42.29853821,-83.87877655,233.3000031,36,265.6875,-2.039999962,20.01000023,-0.02,10.10999966,5,3276.699951,38,1.350006104,S
2382623,2345,1964058,2345,2.92767E+14,24492,23,13769,42.2873497,-83.74249268,205.3999939,11.96000004,113.125,-1.25999999,20.01000023,-0.02,13.64999962,5,188.8999939,45,0.887496948,S
267014,2057,2018993,2057,2.92788E+14,-1871,14,990,42.33974838,-83.89232635,220.6000061,11.42000008,302.6749878,-2.410000086,20.01000023,0,10.76000023,6,324.2000122,22,2.0625,S
397851,2085,2019511,2085,2.92796E+14,-2414,67,2219,42.27708054,-83.76287079,221,11.57999992,254.0375061,1.139999986,20.01000023,0,10.27000046,4,1099.199951,48,0.912490845,S
1983956,2295,2026353,2295,2.92793E+14,-20890,22,3419,42.31216049,-83.76891327,232,15.88000011,330.3500061,5.019999981,20.01000023,0,19.82999992,6,199.1000061,24,1.112518311,S
1983957,2295,2026353,2295,2.92793E+14,-20890,23,3420,42.31216812,-83.7689209,232,16.37999916,332.3125,5.019999981,20.01000023,0,19.82999992,6,111.1999969,88,3.412506104,S
